stationName;KISID;typeStation;lat;lon;altitude;startDate;endDate;locationCode
Bruinisse;725_N;Neerslagstation (8-8);51.659167;4.093889;9999;19970110;17000101;
Buchten;974_N;Neerslagstation (8-8);51.043111;5.807583;33.58;19510101;99991231;
Buchten;127_H;Termijnstation;0;0;9999;19710101;19730101;
Buitengaats/BG-OHVS2;214_V;Platform met transformatoren;54.036944;6.041667;42.5;20160301;99991231;
Buitengaats/BG-OHVS2;214_H;Platform met transformatoren;54.036944;6.041667;42.5;20160301;99991231;
Buren (Betuwe);521_N;Neerslagstation (8-8);51.908889;5.335278;9999;19970110;17000101;
Bussum;556_N;Neerslagstation (8-8);52.262778;5.163611;10;19510101;19950102;
Cabauw;348_S_a;Straling/zonneschijn;51.969167;4.925833;-.7;20020101;99991231;a;
Cabauw locatie A;348_A_a;Luchtdruk- en weerwaarnemingen;51.969167;4.925833;-.7;20020101;99991231;a;
Cabauw locatie A;348_R_a;Neerslagwaarnemingen;51.969167;4.925833;-.7;20020101;99991231;a;
Cabauw locatie A;348_W_a;Windwaarnemingen;51.969167;4.925833;-.7;20020101;99991231;a;
Cabauw locatie sw2t;348_W_sw2t;Windwaarnemingen;51.969167;4.925833;-.7;20090720;99991231;sw2t;
Cabauw locatie sw3g;348_W_sw3g;Windwaarnemingen;51.969167;4.925833;-.7;20090720;99991231;sw3g;
Cabauw locatie sw3t;348_W_sw3t;Windwaarnemingen;51.969167;4.925833;-.7;20090720;99991231;sw3t;
Cabauw locatie swcv;348_W_swcv;Windwaarnemingen;51.969167;4.925833;-.7;20090720;20111231;swcv;
Cabauw mast;348_H;AWS;51.969167;4.925833;-.7;19860301;99991231;
Cabauw onderszoeksmast locatie sw3t;348_T_sw3t;Temperatuurwaarnemingen;51.969167;4.925833;-.7;20091201;20111231;sw3t;
Cabauw onderzoeksmast locatie A;348_T_a;Temperatuurwaarnemingen;51.969167;4.925833;-.7;20020101;99991231;a;
Cabauw onderzoeksmast locatie sw2t;348_T_sw2t;Temperatuurwaarnemingen;51.969167;4.925833;-.7;20091201;20111231;sw2t;
Cabauw onderzoeksmast locatie sw3g;348_T_sw3g;Temperatuurwaarnemingen;51.969167;4.925833;-.7;20091201;20111231;sw3g;
Cadzand;763_N;Neerslagstation (8-8);51.355917;3.413722;1.04;19510101;99991231;
Cadzand;308_H;Windmeetpaal;51.38;3.379167;0;19720101;99991231;
Cadzand;308_W_a;Windwaarnemingen;51.38;3.379167;0;20020101;99991231;a;
Callantsoog;21_N;Neerslagstation (8-8);52.838917;4.707111;.9;19510101;99991231;
Capelle NB;844_N;Neerslag station (8-8);51.677861;4.983194;1;19510101;99991231;
Castricum;235_N;Neerslagstation (8-8);52.545056;4.649972;3.74;19320101;99991231;
Chaam;834_N;Neerslagstation (8-8);51.50725;4.871;11.8;19510101;99991231;
Coevorden;297_N;Neerslagstation (8-8);52.658611;6.771111;9999;19970110;17000101;
Corle;685_N;Neerslagstation (8-8);51.959722;6.651667;270;19800101;19960102;
Craubeek;959_N;Neerslagstation (8-8);0;0;1000;19510101;19521130;
Culemborg;549_N;Neerslagstation (8-8);51.931222;5.222944;.6;19510101;99991231;
Dalmsholte;299_N;Neerslagstation (8-8);52.478611;6.3475;9999;18911101;18930701;
De Beer;468_N;Neerslagstation (8-8);0;0;0;19520401;19581020;
De Bilt;260_H;AWS;52.098889;5.179722;1.9;19010101;99991231;
De Bilt;260_V;AWS;52.098889;5.179722;1.9;19510101;99991231;
De Bilt;260_B;Bodemtemperaturen;52.098889;5.179722;1.9;19610101;99991231;
De Bilt;550_N;Neerslagstation (8-8);52.097278;5.177472;2;19510101;99991231;
De Bilt;260_S;Straling/zonneschijn;52.098889;5.179722;1.9;19510101;99991231;
De Bilt;260_S_a;Straling/zonneschijn;52.098889;5.179722;1.9;20020101;99991231;a;
De Bilt;260_T_a;Temperatuurwaarnemingen;52.098889;5.179722;1.9;20020101;99991231;a;
De Bilt;260_Z;Zonneschijn;52.098889;5.179722;1.9;19010101;99991231;
De Bilt (1);260_1;radiosonde TEMPA DE BILT;52.098889;5.179722;1.9;17000101;99991231;
De Bilt (2);260_2;radiosonde TEMPB DE BILT;52.098889;5.179722;1.9;17000101;99991231;
De Bilt (3);260_3;radiosonde TEMPC DE BILT;52.098889;5.179722;1.9;17000101;99991231;
De Bilt (4);260_4;radiosonde TEMPD DE BILT;52.098889;5.179722;1.9;17000101;99991231;
DE BILT (T - b);260_T_b;temperatuur 10 min wrn DE BILT - b;52.098889;5.179722;1.9;20130412;99991231;b;
De Bilt 1.5m referentie;261_T_h_3;Temperatuurwaarnemingen;52.1;5.183333;20;20160830;99991231;
De Bilt 2.2m referentie;261_T_h_4;Temperatuurwaarnemingen 2.2m referentie;52.1;5.183333;20;20160830;99991231;
De Bilt locatie A;260_B_a;Bodemtemperaturen;52.098889;5.179722;1.9;20020101;99991231;a;
De Bilt locatie A;260_A_a;Luchtdruk- en weerwaarnemingen;52.098889;5.179722;1.9;20020101;99991231;a;
De Bilt locatie A;260_R_a;Neerslagwaarnemingen;52.098889;5.179722;1.9;20020101;99991231;a;
De Bilt locatie A;260_Q_a;Straling/zonneschijn;52.098889;5.179722;1.9;20020101;99991231;a;
De Bilt locatie A;260_W_a;Windwaarnemingen;52.098889;5.179722;1.9;20020101;99991231;a;
De Bilt locatie C;260_W_c;Windwaarnemingen;52.098889;5.179722;1.9;20090415;99991231;c;
De Bilt locatie sw;260_T_sw;Temperatuurwaarnemingen;52.098889;5.179722;1.9;20091201;20111231;sw;
De Bilt locatie sw;260_W_sw;Windwaarnemingen;52.098889;5.179722;1.9;20090408;20111231;sw;
De Bilt locatie sw20m;260_T_sw20m;Temperatuurwaarnemingen;52.098889;5.179722;1.9;20091201;20111231;sw20m;
De Bilt locatie sw20m;260_W_sw20m;Windwaarnemingen;52.098889;5.179722;1.9;20090408;20111231;sw20m;
De Bilt lokatie A;260_C_a;Wolkenwaarnemingen;52.098889;5.179722;1.9;20020101;99991231;a;
De Bilt pagode;261_T_h_1;Temperatuurwaarnemingen;52.1;5.183333;20;20160830;99991231;
De Bilt Stevensonhut;261_T_h_2;Temperatuurwaarnemingen;52.1;5.183333;20;20160830;99991231;
De Bilt test;261_V;AWS;52.098889;5.179722;1.9;20170101;99991231;
De Bilt test;261_H;AWS;52.098889;5.179722;1.9;20020101;99991231;
De Bilt test locatie A;261_B_a;Bodemtemperaturen;52.1;5.183333;20;20020101;99991231;a;
De Bilt test locatie A;261_A_a;Luchtdruk- en weerwaarnemingen;52.1;5.183333;20;20020101;99991231;a;
De Bilt test locatie A;261_S_a;Straling/zonneschijn;52.1;5.183333;20;20020101;99991231;a;
De Bilt test locatie A;261_C_a;Wolkenwaarnemingen;52.1;5.183333;20;20020101;99991231;a;
De Bilt testlocatie 1;261_W_g;Windwaarnemingen;52.1;5.183333;20;20020101;20150302;g;
De Bilt testlocatie A;261_R_a;Neerslagwaarnemingen;52.1;5.183333;20;20020101;99991231;a;
De Bilt testlocatie E;261_T_e;Temperatuurwaarnemingen;52.1;5.183333;20;20020101;20150302;e;
De Bilt testlocatie E;261_W_e;Windwaarnemingen;52.1;5.183333;20;20020101;20150302;e;
De Bilt testwaarneemterrein;261_T_a;Temperatuurwaarnemingen;52.1;5.183333;20;20020101;99991231;a;
De Bilt testwaarneemterrein;261_W_a;Windwaarnemingen;52.1;5.183333;20;20020101;99991231;a;
De Bilt wind nabij pagode;261_W_h;Windwaarnemingen;52.1;5.183333;20;20160830;99991231;
De Cocksdorp;19_N;Neerslagstation (8-8);53.15775;4.873306;1.89;19510101;99991231;
De Haukes;238_N;Neerslagstation (8-8);52.878;4.940472;-2.5;19510101;99991231;
De Koog;22_N;Neerslagstation (8-8);53.097667;4.783889;.76;19510101;99991231;
De Kooy;235_V;AWS;52.926944;4.781111;1.2;19060101;99991231;
De Kooy;235_H;AWS;52.926944;4.781111;1.2;19060101;99991231;
De Kooy;235_B;Bodemtemperaturen;52.926944;4.781111;1.2;19510101;19920106;
De Kooy;235_L;luchtvaart station DE KOOY;52.926944;4.781111;1.2;19510101;99991231;
De Kooy;25_N;Neerslagstation (8-8);52.901111;4.784972;.42;19580401;99991231;
De Kooy;235_C_obs;Wolkenwaarnemingen;52.926944;4.781111;1.2;20020101;99991231;obs;
De Kooy;235_Z;Zonneschijn;52.926944;4.781111;1.2;19930210;19931210;
De Kooy waarneemterrein;235_A_obs;Luchtdruk- en weerwaarnemingen;52.926944;4.781111;1.2;20020101;99991231;obs;
De Kooy waarneemterrein;235_R_obs;Neerslagwaarnemingen;52.926944;4.781111;1.2;20020101;99991231;obs;
De Kooy waarneemterrein;235_S_obs;Straling/zonneschijn;52.926944;4.781111;1.2;20020101;99991231;obs;
De Kooy waarneemterrein;235_T_obs;Temperatuurwaarnemingen;52.926944;4.781111;1.2;20020101;99991231;obs;
De Kooy waarneemterrein;235_W_obs;Windwaarnemingen;52.926944;4.781111;1.2;20020101;99991231;obs;
De Peel;385_H;hoofd station/AWS/SHIP DE PEEL;51.5;5.9;99999;19710101;19801231;
De Peel;385_V;visuele waarnemingen De Peel;0;0;9999;19710101;19801231;
De Wijk DR;289_N;Neerslagstation (8-8);52.680278;6.286944;9999;17000101;17000101;
Dedemsvaart;354_N;Neerslagstation (8-8);52.604083;6.463806;6.78;19510101;99991231;
Dedemsvaart;128_H;Termijnstation;52.592778;6.443333;60;19710101;19911231;
Dedemsvaart;432_Z;Zonneschijn;52.592778;6.443333;60;19510101;19810731;
Deelen;275_H;AWS;52.054722;5.872222;48.2;19510101;99991231;
Deelen;275_V;AWS;52.054722;5.872222;48.2;19510101;99991231;
Deelen;591_N;Neerslagstation (8-8);52.070278;5.900611;75;19710101;99991231;
Deelen backup;99275_H;AWS;52.054722;5.872222;48.2;20170501;99991231;
Deelen locatie 20t;275_A_20t;Luchtdruk- en weerwaarnemingen;52.054722;5.872222;48.2;20060101;99991231;20t;
Deelen locatie 20t;275_T_20t;Temperatuurwaarnemingen;52.054722;5.872222;48.2;20060101;99991231;20t;
Deelen locatie 20t;275_W_20t;Windwaarnemingen;52.054722;5.872222;48.2;20041110;99991231;20t;
Deelen locatie 20t;275_C_20t;Wolkenwaarnemingen;52.054722;5.872222;48.2;20050421;99991231;20t;
Deelen locatie A;275_R_a;Neerslagwaarnemingen;52.054722;5.872222;48.2;20020101;99991231;a;
Deelen locatie A;275_S_a;Straling/zonneschijn;52.054722;5.872222;48.2;20020101;99991231;a;
Deelen locatie A;275_T_a;Temperatuurwaarnemingen;52.054722;5.872222;48.2;20020101;99991231;a;
Deelen locatie A;275_W_a;Windwaarnemingen;52.054722;5.872222;48.2;20020101;99991231;a;
Deelen locatie A;275_C_a;Wolkenwaarnemingen;52.054722;5.872222;48.2;20020101;99991231;a;
Deelen locatie obs02t;275_A_obs02t;Luchtdruk- en weerwaarnemingen;52.054722;5.872222;48.2;20091201;99991231;obs02t;
Deelen locatie obs02t;275_R_obs20t;Neerslagwaarnemingen;52.054722;5.872222;48.2;20050421;99991231;obs20t;
Deelen locatie obs02t;275_T_obs02t;Temperatuurwaarnemingen;52.054722;5.872222;48.2;20060101;99991231;obs02t;
Deelen locatie obs02t;275_W_obs02t;Windwaarnemingen;52.054722;5.872222;48.2;20041110;99991231;obs02t;
Deelen locatie obs20t;275_A_obs20t;Luchtdruk- en weerwaarnemingen;52.054722;5.872222;48.2;20091201;99991231;obs20t;
Deelen locatie obs20t;275_S_obs20t;Straling/zonneschijn;52.054722;5.872222;48.2;20050421;99991231;obs20t;
Deelen locatie obs20t;275_T_obs20t;Temperatuurwaarnemingen;52.054722;5.872222;48.2;20060101;99991231;obs20t;
Deelen locatie ons20t;275_T_ons20t;Temperatuurwaarnemingen;52.054722;5.872222;48.2;20060101;99991231;ons20t;
Deelen lokatie 28t;275_A_28t;Luchtdruk- en weerwaarnemingen;52.054722;5.872222;48.2;20091201;99991231;28t;
Deelen lokatie 28t;275_C_28t;Wolkenwaarnemingen;52.054722;5.872222;48.2;20050421;99991231;28t;
Deelen waarneemterrein;275_A_a;weer algemeen 10 min wrn DEELEN - a;52.054722;5.872222;48.2;20020101;99991231;a;
Delft;449_N;Neerslagstation (8-8);52.008833;4.369778;.3;19320101;99991231;
Delfzijl;141_N;Neerslagstation (8-8);53.323222;6.939889;3.4;19510101;99991231;
Den Bommel;447_N;Neerslag station (8-8);51.716583;4.294944;.4;19510101;99991231;
Den Burg;17_N;Neerslagstation (8-8);53.05025;4.803833;2.19;19510101;99991231;
